江南style
16, 402, 116580, 65535
Seq, Enabled, Servo time, Wait time, 1:Angle, 2:Angle, 3:Angle, 4:Angle, 5:Angle, 6:Angle, 7:Angle, 8:Angle, 9:Angle, 10:Angle, 11:Angle, 12:Angle, 13:Angle, 14:Angle, 15:Angle, 16:Angle, 1:LED, 2:LED, 3:LED, 4:LED, 5:LED, 6:LED, 7:LED, 8:LED, 9:LED, 10:LED, 11:LED, 12:LED, 13:LED, 14:LED, 15:LED, 16:LED, Head LED, MP3 folder, MP3 file, MP3 volume
0, 1, 220, 220, 5, 42, 56, 89, 122, 124, 90, 69, 101, 95, 90, 90, 111, 78, 85, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
1, 1, 220, 220, 52, 42, 56, 88, 122, 125, 90, 69, 101, 95, 90, 90, 111, 76, 85, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
2, 1, 220, 240, 5, 42, 56, 89, 122, 124, 90, 69, 101, 95, 90, 90, 111, 78, 85, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
3, 1, 220, 220, 52, 42, 56, 88, 122, 125, 90, 69, 101, 95, 90, 90, 111, 76, 85, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
4, 1, 220, 240, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
5, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
6, 1, 220, 240, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
7, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
8, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
9, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
10, 1, 220, 220, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
11, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
12, 1, 220, 240, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
13, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
14, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
15, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
16, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
17, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
18, 1, 220, 240, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
19, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
20, 1, 220, 220, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
21, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
22, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
23, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
24, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
25, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
26, 1, 220, 240, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
27, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
28, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
29, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
30, 1, 220, 220, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
31, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
32, 1, 220, 240, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
33, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
34, 1, 220, 240, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
35, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
36, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
37, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
38, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
39, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
40, 1, 220, 220, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
41, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
42, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
43, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
44, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
