?????style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,402,116580,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq, Enabled, Servo time, Wait time, 1:Angle, 2:Angle, 3:Angle, 4:Angle, 5:Angle, 6:Angle, 7:Angle, 8:Angle, 9:Angle, 10:Angle, 11:Angle, 12:Angle, 13:Angle, 14:Angle, 15:Angle, 16:Angle, 1:LED, 2:LED, 3:LED, 4:LED, 5:LED, 6:LED, 7:LED, 8:LED, 9:LED, 10:LED, 11:LED, 12:LED, 13:LED, 14:LED, 15:LED, 16:LED, Head LED, MP3 folder, MP3 file, MP3 volume
0,1,220,220,45,118,174,109,58,66,120,69,161,125,120,120,171,78,115,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
1,1,220,220,92,118,174,108,58,65,120,69,161,125,120,120,171,76,115,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
2,1,220,240,45,118,174,109,58,66,120,69,161,125,120,120,171,78,115,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
3,1,220,220,92,118,174,108,58,65,120,69,161,125,120,120,171,76,115,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
4,1,220,240,58,153,191,191,12,40,118,58,114,153,123,90,191,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
5,1,220,240,78,153,191,161,12,40,118,43,103,151,120,89,186,116,100,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
6,1,220,240,58,153,191,191,12,40,118,58,114,153,123,90,191,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
7,1,220,240,78,153,191,161,12,40,118,43,103,151,120,89,186,116,100,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
8,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
9,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
10,1,220,220,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
11,1,220,240,81,148,199,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
12,1,220,240,58,153,191,191,12,40,118,58,114,153,123,90,191,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
13,1,220,240,78,153,191,161,12,40,118,43,103,151,120,89,186,116,100,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
14,1,220,240,62,148,206,173,2,35,152,58,135,140,158,126,184,117,97,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
