12-move_forward-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,4400,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq, Enabled, Servo time, Wait time, 1:Angle, 2:Angle, 3:Angle, 4:Angle, 5:Angle, 6:Angle, 7:Angle, 8:Angle, 9:Angle, 10:Angle, 11:Angle, 12:Angle, 13:Angle, 14:Angle, 15:Angle, 16:Angle, 1:LED, 2:LED, 3:LED, 4:LED, 5:LED, 6:LED, 7:LED, 8:LED, 9:LED, 10:LED, 11:LED, 12:LED, 13:LED, 14:LED, 15:LED, 16:LED, Head LED, MP3 folder, MP3 file, MP3 volume
0,1,500,500,94,140,163,60,18,79,135,108,164,150,133,130,150,72,108,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
1,1,200,200,145,129,163,85,18,79,135,58,115,152,130,130,150,72,108,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
2,1,100,100,145,129,163,85,18,79,135,58,115,152,130,130,150,72,108,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
3,1,200,200,175,140,164,140,18,67,135,61,175,98,130,130,150,72,108,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
4,1,100,100,175,140,164,140,18,67,135,61,175,98,130,130,150,72,108,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
5,1,500,500,161,140,163,105,29,80,110,90,168,130,109,105,134,69,96,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
6,1,200,200,145,140,163,85,18,79,112,87,168,130,109,105,183,125,87,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
7,1,100,100,145,140,163,85,18,79,112,87,168,130,109,105,183,125,87,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
8,1,200,200,145,140,163,85,18,79,110,87,168,130,109,106,174,72,135,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
9,1,100,100,145,140,163,85,18,79,110,87,168,130,109,106,174,72,135,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
10,1,500,500,94,140,163,60,18,79,135,108,164,150,133,130,150,72,108,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
11,1,200,200,145,129,163,85,18,79,135,58,115,152,130,130,150,72,108,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
12,1,100,100,145,129,163,85,18,79,135,58,115,152,130,130,150,72,108,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
13,1,200,200,175,140,164,140,18,67,135,61,175,98,130,130,150,72,108,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
14,1,100,100,175,140,164,140,18,67,135,61,175,98,130,130,150,72,108,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
15,1,500,500,161,140,163,105,29,80,110,90,168,130,109,105,134,69,96,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
16,1,200,200,145,140,163,85,18,79,112,87,168,130,109,105,183,125,87,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
17,1,100,100,145,140,163,85,18,79,112,87,168,130,109,105,183,125,87,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
18,1,200,200,145,140,163,85,18,79,110,87,168,130,109,106,174,72,135,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
19,1,100,100,145,140,163,85,18,79,110,87,168,130,109,106,174,72,135,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
